oldName,newName,success,urlLink
Y2020-007317,SPY00001C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=82dabb86-9e14-4c7a-8609-abe801592d3b
Y2020-003610,SPY00001I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=de8f4fe7-bf19-4ecf-9d73-abe80158b0f6
Y2020-002980,SPY00001M-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=e40e32b7-39a9-48f9-85da-abe80158a146
Y2020-002365,SPY00002C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=eb1c73c5-919c-4ccf-b751-abe801580648
Y2020-003618,SPY00002I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=bc78b3d3-aa3b-44e7-9b3c-abe80158d325
Y2020-000192,SPY00002M-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=5b9fec10-97ca-4050-af4d-abe80157f069
Y2020-002295,SPY00003C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=0d271b1a-45ca-4071-a4a1-abe80157f9a9
null-1,null,N,null
Y2020-002977,SPY00004M-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=237327c2-0d72-42a4-9cae-abe80158945b
Y2020-008939,SPY00009M-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=a674e2f0-9d72-4845-923a-abe80159892d
Y2020-002836,SPY00010M-A-2021,N,null
Y2020-002577,SPY00011H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=011a258d-1a3e-49fa-8c82-abe8015834ee
Y2020-002715,SPY00012H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=5144ad75-acf4-484f-a258-abe801586d09
Y2020-002853,SPY00012I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=80225e33-cd83-4335-bbec-abe801588cf8
Y2020-007204,SPY00015H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=85e22834-6c99-4765-9712-abe80159262b
Y2020-005380,SPY00016I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=511af11e-1aa1-4f21-831b-abe80158eb6c
Y2020-002400,SPY00016M-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=201a25e4-f91d-4670-b85d-abe801581038
Y2020-006209,SPY00017C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=d5bb186c-b80b-45ba-9421-abe801591d5a
Y2020-002580,SPY00017H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=5982674a-7ad8-4f9a-9dae-abe801583d90
Y2020-006210,SPY00018C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=3efaefd2-c0b7-4091-a3e0-abe801590925
Y2020-005621,SPY00018I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=3303dffc-9d84-4f4a-84da-abe80158f2a1
Y2020-011430,SPY00019H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=0786d3b6-948d-4a99-a18c-abe801599e88
Y2020-008513,SPY00019I-A-2021,N,null
Y2020-008932,SPY00020C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=2efb6d33-dd2e-401f-a607-abe801598aa3
Y2020-002513,SPY00020H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=51327217-75d2-4da4-968c-abe801583106
Y2020-008511,SPY00020I-A-2021,N,null
Y2020-008929,SPY00021C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=6ccea123-eabf-42dc-bd3a-abe801597cfa
Y2020-002960,SPY00021H-A-2021,N,null
Y2020-011980,SPY00023C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=6a15ec81-320b-44a1-848e-abe80159b840
Y2020-008164,SPY00023I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=d38ad41c-2068-4f1f-bb85-abe801595217
Y2020-011986,SPY00024C-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=d587fbbb-4964-4358-9bef-abe80159cc06
Y2020-007749,SPY00025H-A-2021,N,null
Y2020-008930,SPY00025I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=3588408b-1541-49a0-8f27-abe801597b1a
Y2020-008172,SPY00026M-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=8dc11cea-3862-4487-af22-abe801594ff5
Y2020-012726,SPY00028I-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=566cf62c-7592-437a-bba9-abe80159e36c
Y2020-013114,SPY00030I-A-2021,N,null
Y2020-005622,SPY00032H-A-2021,N,null
Y2020-002511,SPY00033M-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=d84d5a61-7e79-47a7-b618-abe801582ca1
Y2020-007056,SPY00035H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=61e1ddde-8c56-4e56-b87d-abe80159119d
Y2020-008149,SPY00036H-A-2021,N,null
Y2020-008510,SPY00038H-A-2021,N,null
Y2020-002698,SPY00040H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=fdf0b368-967a-4365-983c-abe80158548b
Y2020-013347,SPY00041H-A-2021,Y,https://york.cloud.panopto.eu/Panopto/Pages/Sessions/List.aspx#folderID=ab1b203b-8927-4ae8-b236-abe80159f9a7
